New run. 22-05-17,8.74
rPWM,bPWM,Li_avg,Lo_avg,Li_SD,Lo_SD
140,26,15180.394,22.532,9.50,0.422277
rPWM,bPWM,Li_avg,Lo_avg,Li_SD,Lo_SD
27,140,7284.772,1.083,7.46,0.000035
Global parameters (Constants)
Date, tod, TCon, rPARMax, bPARMax, ConMax, rSpecLSupply, bSpecLSupply,FrR_target, rPBR, bPBR, rLambda, ra1, ra0, bLambda, ba1, ba0, rNPARa1, bNPARa1, pHMin, width, BgLo, BgLi, rPWMmin, bPWMmin, daylength
22-05-17,8.800,300000,1978.00,719.00,20.00,0.0959,0.0281,0.750,1.2351,1.5182,0.6650,0.0128,-1.8235,0.5179,0.0169,-2.3531,1.0410,0.9192,6.50,4.0,0.167,0.099,27,26,18.0
Continuous
Date, tod, tor, Illum, state, rLi_ref, rLo_ref, bLi_ref, bLo_ref, rEpsa, rEpsb, rEpsc, rKd, bEpsa, bEpsb, bEpsc, bKd, b_rAbs, rCon2, bCon2, rCon, bCon, rPARimax, bPARimax, FrR, rL_avail, bL_avail, L_avail, pH, pHAvg, Temp, rPWM, bPWM, LiAvg, LoAvg, rLi, rLo, bLi, bLo, Mu, TMu, ConRate, SpConRate, comment
22-05-17,11.990,3.257,3,continuous,15180.39,22.532,7284.77,1.083,0.07523,0.07815,0.00000,0.000628,0.10930,0.17050,0.51890,0.000147,1.300,14.721,15.545,14.721,14.721,305.95,89.51,0.815,245.87,55.65,301.52,7.60,6.76,26.12,145,160,25836.662,23.060,14389.705,21.358,11446.958,1.702,0.0000,3.020,0.000000,0.000000,

22-05-17,12.010,3.277,3,periodic,14864.90,19.733,7068.10,1.033,0.07523,0.07815,0.00000,0.000628,0.10930,0.17050,0.51890,0.000147,1.274,14.886,14.740,14.721,14.721,316.38,92.56,0.815,245.87,55.65,301.52,7.60,6.76,26.25,147,162,25836.662,23.060,14389.705,21.358,11446.958,1.702,0.0000,3.041,0.000000,0.000000,

22-05-17,12.073,3.341,3,continuous,14864.90,19.733,7068.10,1.033,0.07523,0.07815,0.00000,0.000628,0.10930,0.17050,0.51890,0.000147,1.274,14.886,14.740,14.886,14.886,316.38,92.56,0.813,248.78,57.39,306.17,7.60,6.75,26.25,147,162,26213.806,22.640,15921.986,21.136,10291.822,1.504,0.0864,3.104,0.000000,0.000000,

22-05-17,12.157,3.425,3,continuous,14864.90,19.733,7068.10,1.033,0.07523,0.07815,0.00000,0.000628,0.10930,0.17050,0.51890,0.000147,1.274,14.886,14.740,14.886,14.886,316.38,92.56,0.813,248.64,57.35,305.99,7.60,6.75,26.12,147,162,26433.945,23.406,16542.761,21.960,9891.183,1.446,0.0841,3.188,0.000000,0.000000,

22-05-17,12.241,3.508,3,continuous,14864.90,19.733,7068.10,1.033,0.07523,0.07815,0.00000,0.000628,0.10930,0.17050,0.51890,0.000147,1.274,14.886,14.740,14.886,14.886,316.38,92.56,0.813,248.38,57.29,305.68,7.60,6.75,26.12,147,162,26525.980,23.508,16618.019,22.060,9907.960,1.448,0.0819,3.272,0.000000,0.000000,

22-05-17,12.325,3.592,3,continuous,14864.90,19.733,7068.10,1.033,0.07523,0.07815,0.00000,0.000628,0.10930,0.17050,0.51890,0.000147,1.274,14.886,14.740,14.886,14.886,316.38,92.56,0.813,248.02,57.21,305.24,7.60,6.75,26.12,147,162,26567.330,23.552,16649.609,22.102,9917.720,1.449,0.0799,3.355,0.000000,0.000000,

22-05-17,12.409,3.676,3,continuous,14864.90,19.733,7068.10,1.033,0.07523,0.07815,0.00000,0.000628,0.10930,0.17050,0.51890,0.000147,1.274,14.886,14.740,14.886,14.886,316.38,92.56,0.813,247.56,57.10,304.66,7.60,6.75,26.25,147,162,26520.941,23.501,16612.667,22.053,9908.274,1.448,0.0780,3.439,0.000000,0.000000,

22-05-17,12.493,3.760,3,continuous,14864.90,19.733,7068.10,1.033,0.07523,0.07815,0.00000,0.000628,0.10930,0.17050,0.51890,0.000147,1.274,14.886,14.740,14.886,14.886,316.38,92.56,0.813,246.99,56.97,303.96,7.60,6.75,26.12,147,162,26426.355,23.416,16551.886,21.972,9874.468,1.443,0.0761,3.523,0.000000,0.000000,

22-05-17,12.577,3.844,3,continuous,14864.90,19.733,7068.10,1.033,0.07523,0.07815,0.00000,0.000628,0.10930,0.17050,0.51890,0.000147,1.274,14.886,14.740,14.886,14.886,316.38,92.56,0.813,246.31,56.82,303.13,7.60,6.75,26.25,146,161,26305.046,23.262,16436.566,21.819,9868.480,1.442,0.0743,3.607,0.000000,0.000000,

22-05-17,12.661,3.928,3,continuous,14864.90,19.733,7068.10,1.033,0.07523,0.07815,0.00000,0.000628,0.10930,0.17050,0.51890,0.000147,1.274,14.886,14.740,14.886,14.886,316.38,92.56,0.813,245.53,56.64,302.17,7.60,6.75,26.25,146,161,26176.841,23.142,16350.968,21.706,9825.875,1.436,0.0726,3.691,0.000000,0.000000,

22-05-17,12.744,4.012,3,continuous,14864.90,19.733,7068.10,1.033,0.07523,0.07815,0.00000,0.000628,0.10930,0.17050,0.51890,0.000147,1.274,14.886,14.740,14.886,14.886,316.38,92.56,0.813,244.65,56.43,301.08,7.60,6.75,26.12,146,161,26199.699,23.143,16349.213,21.703,9850.487,1.440,0.0710,3.775,0.000000,0.000000,

22-05-17,12.828,4.096,3,continuous,14864.90,19.733,7068.10,1.033,0.07523,0.07815,0.00000,0.000628,0.10930,0.17050,0.51890,0.000147,1.274,14.886,14.740,14.886,14.886,316.38,92.56,0.813,243.66,56.20,299.87,7.60,6.75,26.12,146,161,26144.765,23.120,16336.561,21.687,9808.206,1.433,0.0695,3.859,0.000000,0.000000,

22-05-17,12.912,4.179,3,continuous,14864.90,19.733,7068.10,1.033,0.07523,0.07815,0.00000,0.000628,0.10930,0.17050,0.51890,0.000147,1.274,14.886,14.740,14.886,14.886,316.38,92.56,0.813,242.57,55.95,298.53,7.60,6.76,26.25,145,160,25860.400,22.885,16172.687,21.469,9687.714,1.416,0.0680,3.942,0.000000,0.000000,

22-05-17,12.996,4.263,3,continuous,14864.90,19.733,7068.10,1.033,0.07523,0.07815,0.00000,0.000628,0.10930,0.17050,0.51890,0.000147,1.274,14.886,14.740,14.886,14.886,316.38,92.56,0.813,241.38,55.68,297.06,7.60,6.76,26.25,145,160,25836.494,22.911,16197.828,21.502,9638.667,1.409,0.0666,4.026,0.000000,0.000000,

22-05-17,13.080,4.347,3,continuous,14864.90,19.733,7068.10,1.033,0.07523,0.07815,0.00000,0.000628,0.10930,0.17050,0.51890,0.000147,1.274,14.886,14.740,14.886,14.886,316.38,92.56,0.813,240.09,55.38,295.47,7.60,6.76,26.25,144,160,25812.863,22.843,16142.969,21.430,9669.895,1.413,0.0652,4.110,0.000000,0.000000,

22-05-17,13.164,4.431,3,continuous,14864.90,19.733,7068.10,1.033,0.07523,0.07815,0.00000,0.000628,0.10930,0.17050,0.51890,0.000147,1.274,14.886,14.740,14.886,14.886,316.38,92.56,0.813,238.70,55.06,293.76,7.60,6.77,26.25,144,159,25499.591,22.495,15887.166,21.090,9612.426,1.405,0.0639,4.194,0.000000,0.000000,

22-05-17,13.248,4.515,3,continuous,14864.90,19.733,7068.10,1.033,0.07523,0.07815,0.00000,0.000628,0.10930,0.17050,0.51890,0.000147,1.274,14.886,14.740,14.886,14.886,316.38,92.56,0.813,237.21,54.72,291.93,7.60,6.77,26.25,143,159,25356.798,22.428,15848.241,21.038,9508.559,1.390,0.0627,4.278,0.000000,0.000000,

22-05-17,13.331,4.599,3,continuous,14864.90,19.733,7068.10,1.033,0.07523,0.07815,0.00000,0.000628,0.10930,0.17050,0.51890,0.000147,1.274,14.886,14.740,14.886,14.886,316.38,92.56,0.813,235.63,54.35,289.98,7.60,6.77,26.37,143,158,25223.775,22.223,15690.960,20.830,9532.816,1.393,0.0615,4.362,0.000000,0.000000,

22-05-17,13.415,4.683,3,continuous,14864.90,19.733,7068.10,1.033,0.07523,0.07815,0.00000,0.000628,0.10930,0.17050,0.51890,0.000147,1.274,14.886,14.740,14.886,14.886,316.38,92.56,0.813,233.95,53.96,287.91,7.60,6.78,26.25,142,158,25115.900,22.217,15699.099,20.840,9416.802,1.376,0.0603,4.446,0.000000,0.000000,

22-05-17,13.499,4.766,3,continuous,14864.90,19.733,7068.10,1.033,0.07523,0.07815,0.00000,0.000628,0.10930,0.17050,0.51890,0.000147,1.274,14.886,14.740,14.886,14.886,316.38,92.56,0.813,232.17,53.56,285.73,7.60,6.78,26.25,142,157,24871.503,21.997,15543.401,20.634,9328.104,1.363,0.0592,4.530,0.000000,0.000000,

